"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","883","Проверка оформления заказа с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:54 GMT 2025","passed","Thu Aug 07 15:00:55 GMT 2025","tests.ChecoutTest","Edge","tests.ChecoutTest","checkLoginWithNegativeValue1"
"","223","Проверка локаторов","SauseDemo CrossBrowser","Thu Aug 07 15:00:52 GMT 2025","broken","Thu Aug 07 15:00:52 GMT 2025","tests.LocatorsTest","Edge","tests.LocatorsTest","locator"
"","437","Проверка авторизации с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:24 GMT 2025","passed","Thu Aug 07 15:00:24 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeValue1"
"","972","Проверка оформления заказа с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:56 GMT 2025","passed","Thu Aug 07 15:00:56 GMT 2025","tests.ChecoutTest","Edge","tests.ChecoutTest","checkLoginWithNegativeValue1"
"","501","Проверка авторизации с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:47 GMT 2025","passed","Thu Aug 07 15:00:48 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeValue1"
"","1006","Проверка оформления зкакза","SauseDemo CrossBrowser","Thu Aug 07 15:00:53 GMT 2025","passed","Thu Aug 07 15:00:54 GMT 2025","tests.ChecoutTest","Edge","tests.ChecoutTest","checkDesigns"
"","222","Проверка локаторов","SauseDemo CrossBrowser","Thu Aug 07 15:00:27 GMT 2025","broken","Thu Aug 07 15:00:27 GMT 2025","tests.LocatorsTest","Chrome","tests.LocatorsTest","locator"
"","495","Проверка авторизации с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:48 GMT 2025","passed","Thu Aug 07 15:00:49 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeValue1"
"","458","Проверка авторизации с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:23 GMT 2025","passed","Thu Aug 07 15:00:23 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeValue1"
"","439","Проверка авторизации с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:25 GMT 2025","passed","Thu Aug 07 15:00:25 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeValue1"
"","514","Проверка авторизации с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:49 GMT 2025","passed","Thu Aug 07 15:00:50 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLoginWithNegativeValue1"
"","758","Проверка оформления заказа с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:30 GMT 2025","passed","Thu Aug 07 15:00:31 GMT 2025","tests.ChecoutTest","Chrome","tests.ChecoutTest","checkLoginWithNegativeValue1"
"","767","Проверка оформления заказа с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:29 GMT 2025","passed","Thu Aug 07 15:00:30 GMT 2025","tests.ChecoutTest","Chrome","tests.ChecoutTest","checkLoginWithNegativeValue1"
"","1349","Проверка  авторизация с корректными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:21 GMT 2025","passed","Thu Aug 07 15:00:23 GMT 2025","tests.LoginTest","Chrome","tests.LoginTest","checkLogin"
"","1078","Проверка  авторизация с корректными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:46 GMT 2025","passed","Thu Aug 07 15:00:47 GMT 2025","tests.LoginTest","Edge","tests.LoginTest","checkLogin"
"","869","Проверка оформления заказа с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:31 GMT 2025","passed","Thu Aug 07 15:00:32 GMT 2025","tests.ChecoutTest","Chrome","tests.ChecoutTest","checkLoginWithNegativeValue1"
"","883","Проверка оформления заказа с неправильными данными","SauseDemo CrossBrowser","Thu Aug 07 15:00:57 GMT 2025","passed","Thu Aug 07 15:00:58 GMT 2025","tests.ChecoutTest","Edge","tests.ChecoutTest","checkLoginWithNegativeValue1"
"","878","Проверка оформления зкакза","SauseDemo CrossBrowser","Thu Aug 07 15:00:28 GMT 2025","passed","Thu Aug 07 15:00:28 GMT 2025","tests.ChecoutTest","Chrome","tests.ChecoutTest","checkDesigns"
